Speed;FC (essence);FC (diesel);CO2 (essence);CO2 (diesel);Nox (essence);Nox (diesel);PM (essence);PM (diesel);CO (essence);CO (diesel);COV (essence);COV (diesel)
10;8.67;81.06;25.61;254.31;0.008;0.5021;0.0001;0.0081;0.0287;0.2548;0.0018;0.0311
20;6.47;60.83;20.6;190.88;0.0068;0.4121;0.0001;0.0072;0.0256;0.1684;0.0013;0.0225
30;5.28;51.54;16.8;161.78;0.0056;0.3439;0.0001;0.0064;0.0248;0.1136;0.0011;0.0149
40;4.61;46.48;14.68;145.96;0.0046;0.2927;0.0001;0.0058;0.0249;0.0786;0.0011;0.0104
50;4.24;43.57;13.48;136.86;0.0038;0.2573;0.0001;0.0054;0.0256;0.0561;0.0011;0.0081
60;4.06;41.96;12.9;131.83;0.0032;0.2373;0.0001;0.0051;0.0268;0.0416;0.0012;0.0069
70;4;41.27;12.72;129.67;0.0027;0.2325;0.0001;0.005;0.0298;0.0322;0.0013;0.0062
80;4.03;41.33;12.81;129.85;0.0024;0.2428;0.0001;0.0051;0.0348;0.0262;0.0013;0.0013
90;4.13;42.09;13.09;132.24;0.0022;0.2683;0.0001;0.0054;0.0419;0.0223;0.0014;0.0056
100;4.27;43.62;13.52;137.08;0.0021;0.3093;0.0001;0.0058;0.0528;0.0199;0.0016;0.0055
110;4.45;46.15;14.07;145.01;0.0022;0.3662;0.0001;0.0064;0.0711;0.0184;0.0017;0.0054
120;4.67;50.11;14.72;157.47;0.0024;0.4407;0.0001;0.0072;0.1069;0.0177;0.0019;0.0054
130;4.93;56.5;15.42;177.56;0.0028;0.5389;0.0001;0.0081;0.1915;0.0174;0.0021;0.0054
